event,league_season_id,location,event_id,cup_name,cup_id,custom_cup_ids,url,registration_url,infosheet_url,additional_info_url,starts_at,ends_at,local_start_date,local_end_date,timezone,disciplines
"Intl. Event Open for Rockmaster (L, B) - Arco (ITA) 2012",303,Arco_Open,782,,,[],/api/v1/events/782,/api/v1/events/782/registrations,,,2012-08-30 00:00:00 UTC,2012-08-31 00:00:00 UTC,2012-08-30,2012-08-31,,"[{'id': 890, 'kind': 'lead', 'event_id': 782, 'created_at': '2020-01-31T10:02:08.000Z', 'updated_at': '2020-01-31T10:02:08.000Z', 'settings': None}, {'id': 891, 'kind': 'boulder', 'event_id': 782, 'created_at': '2020-01-31T10:02:09.000Z', 'updated_at': '2020-01-31T10:02:09.000Z', 'settings': None}]"
IFSC Climbing Worldcup (S) - Arco (ITA) 2012,292,Arco,737,IFSC Climbing Worldcup 2012,48.0,[],/api/v1/events/737,/api/v1/events/737/registrations,,,2012-09-01 00:00:00 UTC,2012-09-02 00:00:00 UTC,2012-09-01,2012-09-02,,"[{'id': 844, 'kind': 'speed', 'event_id': 737, 'created_at': '2020-01-31T09:55:43.000Z', 'updated_at': '2020-02-14T16:05:03.000Z', 'settings': None}]"
"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2012",303,Arco_RM_12,783,,,[],/api/v1/events/783,/api/v1/events/783/registrations,,,2012-09-01 00:00:00 UTC,2012-09-02 00:00:00 UTC,2012-09-01,2012-09-02,,"[{'id': 892, 'kind': 'lead', 'event_id': 783, 'created_at': '2020-01-31T10:02:13.000Z', 'updated_at': '2020-01-31T10:02:13.000Z', 'settings': None}, {'id': 893, 'kind': 'speed', 'event_id': 783, 'created_at': '2020-01-31T10:02:14.000Z', 'updated_at': '2020-01-31T10:02:14.000Z', 'settings': None}]"
IFSC World Championship Lead Group A - Paris 2012,292,Paris,739,,,[],/api/v1/events/739,/api/v1/events/739/registrations,,,2012-09-11 00:00:00 UTC,2012-09-12 00:00:00 UTC,2012-09-11,2012-09-12,,"[{'id': 848, 'kind': 'lead', 'event_id': 739, 'created_at': '2020-01-31T09:56:09.000Z', 'updated_at': '2020-02-14T16:00:43.000Z', 'settings': None}]"
IFSC World Championship Lead Group B - Paris 2012,292,Paris,740,,,[],/api/v1/events/740,/api/v1/events/740/registrations,,,2012-09-11 00:00:00 UTC,2012-09-12 00:00:00 UTC,2012-09-11,2012-09-12,,"[{'id': 849, 'kind': 'lead', 'event_id': 740, 'created_at': '2020-01-31T09:56:14.000Z', 'updated_at': '2020-02-14T16:00:44.000Z', 'settings': None}]"
IFSC Climbing World Championship - Paris (FRA) 2012,292,WCH Paris,738,,,[],/api/v1/events/738,/api/v1/events/738/registrations,,,2012-09-12 00:00:00 UTC,2012-09-16 00:00:00 UTC,2012-09-12,2012-09-16,,"[{'id': 845, 'kind': 'lead', 'event_id': 738, 'created_at': '2020-01-31T09:55:45.000Z', 'updated_at': '2020-02-14T15:35:01.000Z', 'settings': None}, {'id': 846, 'kind': 'boulder', 'event_id': 738, 'created_at': '2020-01-31T09:55:49.000Z', 'updated_at': '2020-02-14T16:08:47.000Z', 'settings': None}, {'id': 847, 'kind': 'speed', 'event_id': 738, 'created_at': '2020-01-31T09:55:53.000Z', 'updated_at': '2020-02-14T16:05:05.000Z', 'settings': None}]"
IFSC Paraclimbing World Championship - Paris (FRA) 2012,294,Paraclimbing_WCH_12,749,,,[],/api/v1/events/749,/api/v1/events/749/registrations,,,2012-09-12 00:00:00 UTC,2012-09-16 00:00:00 UTC,2012-09-12,2012-09-16,,"[{'id': 860, 'kind': 'lead', 'event_id': 749, 'created_at': '2020-01-31T09:57:29.000Z', 'updated_at': '2020-01-31T09:57:29.000Z', 'settings': None}]"
IFSC Climbing Worldcup (L) - Puurs (BEL) 2012,292,Puurs,741,IFSC Climbing Worldcup 2012,48.0,[],/api/v1/events/741,/api/v1/events/741/registrations,,,2012-09-21 00:00:00 UTC,2012-09-22 00:00:00 UTC,2012-09-21,2012-09-22,,"[{'id': 850, 'kind': 'lead', 'event_id': 741, 'created_at': '2020-01-31T09:56:19.000Z', 'updated_at': '2020-02-14T16:01:14.000Z', 'settings': None}]"
Rheintal Cup - Megusta Cup Chur 2012,303,RC Megusta Chur ,784,Rheintal Cup 2012,50.0,[],/api/v1/events/784,/api/v1/events/784/registrations,,,2012-09-22 00:00:00 UTC,2012-09-22 00:00:00 UTC,2012-09-22,2012-09-22,,"[{'id': 894, 'kind': 'lead', 'event_id': 784, 'created_at': '2020-01-31T10:02:17.000Z', 'updated_at': '2020-01-31T10:02:17.000Z', 'settings': None}]"
Rheintal Cup - Megusta Cup Chur (S) 2012,303,RC Megusta Speed,785,Rheintal Cup 2012,50.0,[],/api/v1/events/785,/api/v1/events/785/registrations,,,2012-09-22 00:00:00 UTC,2012-09-22 00:00:00 UTC,2012-09-22,2012-09-22,,"[{'id': 895, 'kind': 'lead', 'event_id': 785, 'created_at': '2020-01-31T10:02:18.000Z', 'updated_at': '2020-01-31T10:02:18.000Z', 'settings': None}]"
IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,292,Atlanta,742,IFSC Climbing Worldcup 2012,48.0,[],/api/v1/events/742,/api/v1/events/742/registrations,,,2012-09-29 00:00:00 UTC,2012-09-30 00:00:00 UTC,2012-09-29,2012-09-30,,"[{'id': 851, 'kind': 'lead', 'event_id': 742, 'created_at': '2020-01-31T09:56:23.000Z', 'updated_at': '2020-02-14T16:01:16.000Z', 'settings': None}]"
Promotional Event - Les 24 heures du Mur (L) - Oloront Sainte Marie (FRA) 2012,303,Promo_Oloront_12,786,,,[],/api/v1/events/786,/api/v1/events/786/registrations,,,2012-10-06 00:00:00 UTC,2012-10-07 00:00:00 UTC,2012-10-06,2012-10-07,,[]
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",292,Xining,743,IFSC Climbing Worldcup 2012,48.0,[],/api/v1/events/743,/api/v1/events/743/registrations,,,2012-10-12 00:00:00 UTC,2012-10-13 00:00:00 UTC,2012-10-12,2012-10-13,,"[{'id': 852, 'kind': 'lead', 'event_id': 743, 'created_at': '2020-01-31T09:56:28.000Z', 'updated_at': '2020-02-14T16:01:17.000Z', 'settings': None}, {'id': 853, 'kind': 'speed', 'event_id': 743, 'created_at': '2020-01-31T09:56:30.000Z', 'updated_at': '2020-02-14T16:05:06.000Z', 'settings': None}]"
Wujiang Rock Master - Wujiang (CHN) 2012  	,303,Wujiang_12,787,,,[],/api/v1/events/787,/api/v1/events/787/registrations,,,2012-10-16 00:00:00 UTC,2012-10-17 00:00:00 UTC,2012-10-16,2012-10-17,,[]
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",292,Mokpo,744,IFSC Climbing Worldcup 2012,48.0,[],/api/v1/events/744,/api/v1/events/744/registrations,,,2012-10-20 00:00:00 UTC,2012-10-21 00:00:00 UTC,2012-10-20,2012-10-21,,"[{'id': 854, 'kind': 'lead', 'event_id': 744, 'created_at': '2020-01-31T09:56:35.000Z', 'updated_at': '2020-02-14T16:01:18.000Z', 'settings': None}, {'id': 855, 'kind': 'speed', 'event_id': 744, 'created_at': '2020-01-31T09:56:37.000Z', 'updated_at': '2020-02-14T16:05:07.000Z', 'settings': None}]"
IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,292,Inzai,745,IFSC Climbing Worldcup 2012,48.0,[],/api/v1/events/745,/api/v1/events/745/registrations,,,2012-10-27 00:00:00 UTC,2012-10-28 00:00:00 UTC,2012-10-27,2012-10-28,,"[{'id': 856, 'kind': 'lead', 'event_id': 745, 'created_at': '2020-01-31T09:56:42.000Z', 'updated_at': '2020-02-14T16:01:20.000Z', 'settings': None}]"
"European Youth Championship (L,S) - Gémozac (FRA) 2012",298,Gemozac,762,,,[],/api/v1/events/762,/api/v1/events/762/registrations,,,2012-11-02 00:00:00 UTC,2012-11-04 00:00:00 UTC,2012-11-02,2012-11-04,,"[{'id': 878, 'kind': 'speed', 'event_id': 762, 'created_at': '2020-01-31T10:00:06.000Z', 'updated_at': '2020-01-31T10:00:06.000Z', 'settings': None}, {'id': 879, 'kind': 'lead', 'event_id': 762, 'created_at': '2020-01-31T10:00:10.000Z', 'updated_at': '2020-01-31T10:00:10.000Z', 'settings': None}]"
"Asian Cup (L, S) - Chengdu CHN) 2012",295,Asian_cup_12,751,,,[],/api/v1/events/751,/api/v1/events/751/registrations,,,2012-11-03 00:00:00 UTC,2012-11-04 00:00:00 UTC,2012-11-03,2012-11-04,,[]
"IFSC Panamerican Championship (L, S, B) - San Juan de los Morros (VEN) 2012",299,,764,,,[],/api/v1/events/764,/api/v1/events/764/registrations,,,2012-11-07 00:00:00 UTC,2012-11-10 00:00:00 UTC,2012-11-07,2012-11-10,,"[{'id': 881, 'kind': 'lead', 'event_id': 764, 'created_at': '2020-01-31T10:00:57.000Z', 'updated_at': '2020-01-31T10:00:57.000Z', 'settings': None}, {'id': 882, 'kind': 'boulder', 'event_id': 764, 'created_at': '2020-01-31T10:00:59.000Z', 'updated_at': '2020-01-31T10:00:59.000Z', 'settings': None}, {'id': 883, 'kind': 'speed', 'event_id': 764, 'created_at': '2020-01-31T10:01:00.000Z', 'updated_at': '2020-01-31T10:01:00.000Z', 'settings': None}, {'id': 884, 'kind': 'combined', 'event_id': 764, 'created_at': '2020-01-31T10:01:02.000Z', 'updated_at': '2020-01-31T10:01:02.000Z', 'settings': None}]"
IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,292,Kranj,746,IFSC Climbing Worldcup 2012,48.0,[],/api/v1/events/746,/api/v1/events/746/registrations,,,2012-11-17 00:00:00 UTC,2012-11-18 00:00:00 UTC,2012-11-17,2012-11-18,,"[{'id': 857, 'kind': 'lead', 'event_id': 746, 'created_at': '2020-01-31T09:56:47.000Z', 'updated_at': '2020-02-14T16:01:21.000Z', 'settings': None}]"
"PanAmerican Youth Championship (L,S, B) - Santiago (CHI) 2012",299,PAC YCH Santiago,765,,,[],/api/v1/events/765,/api/v1/events/765/registrations,,,2012-11-21 00:00:00 UTC,2012-11-25 00:00:00 UTC,2012-11-21,2012-11-25,,"[{'id': 885, 'kind': 'boulder', 'event_id': 765, 'created_at': '2020-01-31T10:01:16.000Z', 'updated_at': '2020-01-31T10:01:16.000Z', 'settings': None}, {'id': 886, 'kind': 'speed', 'event_id': 765, 'created_at': '2020-01-31T10:01:22.000Z', 'updated_at': '2020-01-31T10:01:22.000Z', 'settings': None}, {'id': 887, 'kind': 'lead', 'event_id': 765, 'created_at': '2020-01-31T10:01:25.000Z', 'updated_at': '2020-01-31T10:01:25.000Z', 'settings': None}]"
