,firstname,lastname,current,sigma,mu
6821,Berit,SKEJEVLING,"N(mu=0.815, sigma=1.011)",1.01052906534216,0.8149604313529532
446,Marine,THÉVENET,"N(mu=0.807, sigma=0.255)",0.25512951891208924,0.8072841788909481
6552,Dagmar,PFAFFENBICHLER,"N(mu=0.797, sigma=0.368)",0.36828998282645514,0.7965925809151964
6933,Claire,MIMET,"N(mu=0.783, sigma=0.514)",0.5142793614175084,0.7826980186542789
6616,Susan,PRICE,"N(mu=0.778, sigma=0.592)",0.5916840680829208,0.777794005849793
4534,Eva,TUSAR,"N(mu=0.769, sigma=0.274)",0.2743321700964826,0.7688381371458921
439,Anne-Laure,CHEVRIER,"N(mu=0.766, sigma=0.424)",0.4235000728113814,0.7664147022306044
14031,Chaeyeong,KIM,"N(mu=0.758, sigma=1.006)",1.0059952277001034,0.7578297845240515
13556,Gayeong,OH,"N(mu=0.757, sigma=0.586)",0.5863439255445451,0.7571691938365229
6534,Marie-Luise,KILCHÖR,"N(mu=0.755, sigma=0.726)",0.7262511036545505,0.7551602566524478
6545,Metka,LUKANCIC,"N(mu=0.738, sigma=0.210)",0.21024859948790017,0.7379270096238717
3888,Alina,RING,"N(mu=0.726, sigma=0.316)",0.31577699505307943,0.7264107706110812
7004,Delphine,PIGNEUR,"N(mu=0.722, sigma=0.368)",0.36770210609483495,0.7223810540763117
2823,Juliane,WURM,"N(mu=0.709, sigma=0.249)",0.249257750159047,0.7094474724353033
6868,Karin,SPENGLER,"N(mu=0.707, sigma=1.010)",1.0101665677147176,0.7071567853947047
6539,Marie-Annick,PIAT,"N(mu=0.705, sigma=0.234)",0.23402788196225913,0.7053398059546517
530,Nolwenn,ARC,"N(mu=0.699, sigma=0.208)",0.2078760691641204,0.6994782424920412
6763,Eva,LINHARTOVA,"N(mu=0.699, sigma=0.423)",0.4226194791579264,0.6993116502635683
6617,Margarita,SAULIMOVSKAIA,"N(mu=0.687, sigma=0.597)",0.5969615275849847,0.6872715585708862
3580,Nikki,VAN BERGEN,"N(mu=0.678, sigma=0.184)",0.1841799510833697,0.6784569000940497
535,Maëlys,AGRAPART,"N(mu=0.678, sigma=1.014)",1.0142296481752244,0.6778549914632742
891,Asja,GOLLO,"N(mu=0.675, sigma=0.301)",0.30103798538438675,0.6747477757505482
4757,Maud,ANSADE,"N(mu=0.674, sigma=1.020)",1.0201477096392624,0.6737552540993961
3594,Lynn,VAN DER MEER,"N(mu=0.673, sigma=0.246)",0.2458124353168741,0.6732516282405803
4550,Rie,KIMURA,"N(mu=0.670, sigma=0.241)",0.2406273384106114,0.6703388873505409
6916,Galina,AGAPOVA,"N(mu=0.670, sigma=0.465)",0.46473527410250953,0.670333638221871
6888,Marie,DUTRAY,"N(mu=0.669, sigma=1.015)",1.0149630793613118,0.6692569761992768
6992,Katarina,STREMFELJ,"N(mu=0.666, sigma=0.266)",0.2660722259540373,0.6655949483467165
6613,Nancy,FEAGIN,"N(mu=0.659, sigma=0.425)",0.4246210457069463,0.6588505587049448
6542,Barbara,STRANSKA,"N(mu=0.656, sigma=0.248)",0.2483488089647973,0.656173194085417
4484,Vera,KOTASOVA-KOSTRUHOVA,"N(mu=0.656, sigma=0.303)",0.303075965213683,0.6556054726429155
6538,Daniela,LUZZINI,"N(mu=0.651, sigma=0.519)",0.5193819783924223,0.650774166191007
5514,Nina,CAPREZ,"N(mu=0.636, sigma=0.276)",0.2761270638744703,0.6358177045321698
2671,Kajsa,ROSEN,"N(mu=0.624, sigma=0.291)",0.29093217196139615,0.6237886945374058
6177,Ana,TIRIPA,"N(mu=0.617, sigma=0.393)",0.3927455025701764,0.6172397880683348
1239,Julia,FISER,"N(mu=0.608, sigma=0.193)",0.19266129988091718,0.6081647600080173
5777,Anne,HOARAU,"N(mu=0.598, sigma=0.728)",0.7278976623112415,0.5979861281736953
5258,Ana,KOSMAC,"N(mu=0.590, sigma=0.396)",0.3962451203061531,0.5898607886954885
7038,Dominique,COLLIERE,"N(mu=0.555, sigma=0.516)",0.5161896026919085,0.5546135620111834
5260,Tereza,KYSILKOVA,"N(mu=0.546, sigma=0.264)",0.26394329645906695,0.5464988637567958
42,Tatiana,RUYGA,"N(mu=0.545, sigma=0.396)",0.39593903109289935,0.5447907052146208
5644,Christina,SCHMID,"N(mu=0.543, sigma=0.277)",0.2767404365130486,0.543108780614159
6966,Maja,SUSTAR,"N(mu=0.543, sigma=0.593)",0.5927490476735152,0.5425717423073216
669,Hannah,SLANEY,"N(mu=0.536, sigma=0.461)",0.46132936938771457,0.5355033642428182
6540,Pascale,MATERA,"N(mu=0.535, sigma=1.017)",1.0165119524291537,0.5349178030477161
4926,Irati,ANDA VILLANUEVA,"N(mu=0.527, sigma=0.224)",0.2239968873532005,0.5271006420998434
3109,Johanna,HOLFELD,"N(mu=0.520, sigma=0.722)",0.7224535694539843,0.520028121806759
6791,Marie Claire,GONTHARET,"N(mu=0.517, sigma=1.013)",1.0134700052915318,0.5166009074277862
5114,Svetlana,SUTKINA,"N(mu=0.516, sigma=0.348)",0.3480579418229578,0.5161035465256169
7051,Heather,COLLINS,"N(mu=0.512, sigma=1.011)",1.011141920311984,0.5116068084194796
328,Heloïse,DOUMONT,"N(mu=0.500, sigma=0.217)",0.2168624205186603,0.49983444731741644
4727,Sarah,SEEGER,"N(mu=0.500, sigma=0.729)",0.7285782353201672,0.49954741653884605
4541,Carole,PETRIGNET,"N(mu=0.496, sigma=0.254)",0.2543088556015439,0.49604772163355493
6889,Gry,HANSEN,"N(mu=0.496, sigma=0.370)",0.36960154866934686,0.49561527647117154
6936,Anne-Marie,COFFY,"N(mu=0.494, sigma=0.723)",0.7229732022973465,0.49420507288104465
1130,Katja,DEBEVEC,"N(mu=0.488, sigma=0.254)",0.2540816028997714,0.4879904652224469
7019,Martina,ARTIOLI,"N(mu=0.488, sigma=0.366)",0.3658974365915183,0.4876221411991453
6669,Diane,RUSSELL,"N(mu=0.484, sigma=1.018)",1.017646376607194,0.4842106499964101
3246,Petra,KLINGLER,"N(mu=0.481, sigma=0.283)",0.2825574029450401,0.48143694743823745
6670,Marina,KLEONOVA,"N(mu=0.479, sigma=0.348)",0.3478435503066095,0.47892041918113587
6544,Ivana,CADOVA,"N(mu=0.477, sigma=0.724)",0.7242089683332256,0.4774149291267685
6967,Larissa,BURONOVA,"N(mu=0.474, sigma=1.018)",1.0180807913724448,0.4739853258125106
6725,Natalia,BAGENOVA,"N(mu=0.472, sigma=0.593)",0.5927210372415113,0.4724047017828041
4922,Asja,GOSAR,"N(mu=0.472, sigma=0.242)",0.24158649751758954,0.47217574646364796
6546,Tamara,SCHLEMMER,"N(mu=0.470, sigma=0.208)",0.20764122810454325,0.46962422097234613
1750,Kyra,CONDIE,"N(mu=0.469, sigma=0.232)",0.23242636482393814,0.4685490131542415
12878,Tomona,TAKAO,"N(mu=0.467, sigma=0.723)",0.7228348822653267,0.4674793043446584
4735,Kseniia,ALEKSEEVA,"N(mu=0.465, sigma=0.391)",0.39094992718134425,0.4648527382967803
4546,Irina,ROUIGA,"N(mu=0.459, sigma=0.392)",0.3923073668769258,0.4587030915361696
6806,Unda,TOSSEBRO,"N(mu=0.453, sigma=1.021)",1.0214093414647802,0.45261666272064816
1270,Sandra,LETTNER,"N(mu=0.444, sigma=0.280)",0.28030533977937494,0.4443679150563448
3840,Stasa,GEJO,"N(mu=0.442, sigma=0.258)",0.25807227244872255,0.44239979095024934
13596,Zhilu,LUO,"N(mu=0.432, sigma=0.327)",0.32687827521197566,0.43209414264294915
7052,Beth,RODDEN,"N(mu=0.430, sigma=1.011)",1.0111281988016678,0.429779378290438
4450,Myriam,MOTTEAU,"N(mu=0.417, sigma=0.593)",0.592740286050935,0.41651007181981553
1360,Silvie,RAJFOVA,"N(mu=0.415, sigma=0.435)",0.4350301267279886,0.41509200725440015
6692,Rachel,FARMER,"N(mu=0.414, sigma=0.431)",0.4306729634021614,0.4137018737303395
2270,Yuki,HIROSHIGE,"N(mu=0.406, sigma=0.271)",0.2706436683070755,0.406326622121983
5063,Lisa,BENETTI,"N(mu=0.403, sigma=0.212)",0.2120963429698998,0.4027560536525876
6895,Silvia,PEARSONS,"N(mu=0.394, sigma=0.349)",0.34886806861038105,0.39414674536537075
