,firstname,lastname,current,sigma,mu
2735,Ruxandra-Georgeta,BARBULESCU,"N(mu=-7.097, sigma=2.225)",2.225119245822833,-7.097338023463502
6255,Reyhan,MAMMADOVA ,"N(mu=-7.302, sigma=2.050)",2.0500177230921675,-7.302071470688758
12821,Valeriia,KORYTTSEVA,"N(mu=-7.570, sigma=3.115)",3.1151858690340486,-7.570304875774117
4974,Elena,BRUNNER,"N(mu=-7.821, sigma=3.421)",3.4213246134396207,-7.8206393540217665
6387,Esti,TWEG,"N(mu=-7.914, sigma=3.067)",3.0674011738373497,-7.913834061446098
2539,Lilly,MAGDITSCH,"N(mu=-8.006, sigma=3.100)",3.0999277136884045,-8.005968635511396
639,Eleanor,GLENNIE,"N(mu=-8.372, sigma=3.061)",3.061022405406008,-8.372068245147002
7449,Maja,PETROVSKA,"N(mu=-8.642, sigma=3.254)",3.254003703267532,-8.641813579316358
2624,Flavia Pereira,SONALI,"N(mu=-9.025, sigma=2.565)",2.565388385080008,-9.024931297681603
2086,Saedasom,JUNG,"N(mu=-9.173, sigma=3.223)",3.2230923725609233,-9.172863247884175
2733,Judit,NAGY ,"N(mu=-10.018, sigma=3.161)",3.1609698953019447,-10.01844441846813
6254,Sima,SEFEROVA,"N(mu=-10.389, sigma=2.722)",2.7218121035698126,-10.388583286670457
