,firstname,lastname,current,sigma,mu
2346,Yuta,KOBATA,"N(mu=1.656, sigma=1.005)",1.0046836207343497,1.6556292892179758
2822,Jonas,BAUMANN,"N(mu=1.646, sigma=0.179)",0.17940545192899107,1.64592571705746
5889,Mark,HOBSON,"N(mu=1.645, sigma=1.012)",1.0122506835543021,1.644589520121926
546,Pierre,LE CERF,"N(mu=1.643, sigma=0.714)",0.7143536088889627,1.6431467925412282
1192,Alexander,MEIKL,"N(mu=1.643, sigma=0.346)",0.3457618153174673,1.6426285006533101
1216,Mario,LECHNER,"N(mu=1.636, sigma=0.363)",0.3627986804534743,1.636102819421583
4779,Antoine,VANDEPUTTE,"N(mu=1.633, sigma=0.459)",0.4588668086970364,1.633039987004168
4593,François,LEGRAND,"N(mu=1.622, sigma=1.019)",1.0194826165622606,1.621947028571542
4780,Michele,CAMINATI,"N(mu=1.616, sigma=0.224)",0.22437918859956688,1.6158781893725251
13320,Kento,YAMAGUCHI,"N(mu=1.593, sigma=0.455)",0.4554869044446904,1.5930885076393082
4507,Frédéric,NOE,"N(mu=1.588, sigma=0.461)",0.4614091722637668,1.5878940162610873
1470,Maksym,STYENKOVYY,"N(mu=1.578, sigma=1.012)",1.0117911962879285,1.5780145129117944
440,Romain,PAGNOUX,"N(mu=1.565, sigma=1.009)",1.00936413705214,1.5652564501838966
4842,Shinpei,HASEGAWA,"N(mu=1.563, sigma=1.011)",1.0110109463502586,1.5632018626438415
1773,Rudolph,RUANA,"N(mu=1.550, sigma=0.342)",0.3419084045678399,1.5498824355342136
3058,Magnus,MIDTBOE,"N(mu=1.542, sigma=0.455)",0.4554291250486839,1.5423726529753914
435,Remi,SAMYN,"N(mu=1.533, sigma=0.273)",0.2730979867220745,1.533233017121995
1127,Urban,PRIMOZIC,"N(mu=1.529, sigma=0.586)",0.586298405356325,1.5285637843715936
4512,Jean Baptiste,JOURJON,"N(mu=1.515, sigma=0.348)",0.3479759086725051,1.514852342885186
4168,Edvards,GRUZITIS,"N(mu=1.508, sigma=0.279)",0.2786948280359289,1.5081396464572927
431,Romain,CABESSUT,"N(mu=1.507, sigma=0.721)",0.721407405556785,1.5072267897872385
4473,Damien,JEANDENAND,"N(mu=1.504, sigma=0.319)",0.31899301733858915,1.5038812536037995
12500,Ilja,AUERSPERG,"N(mu=1.504, sigma=0.712)",0.7123268100285371,1.5037741933716697
1819,Will,ANGLIN,"N(mu=1.496, sigma=1.008)",1.0077110831740235,1.495817617037723
1282,Andreas,HOFHERR,"N(mu=1.491, sigma=1.001)",1.0011538206920616,1.491157165329075
7636,Markus,BENDLER,"N(mu=1.487, sigma=1.008)",1.0075166075168385,1.4871849727813695
4786,Fabien,COMINA,"N(mu=1.484, sigma=0.345)",0.34477444916698596,1.4840446584340308
646,Nathan,PHILLIPS,"N(mu=1.483, sigma=0.191)",0.1912768170657874,1.4831510141766078
5634,Alan,PRYCE,"N(mu=1.483, sigma=1.010)",1.0100890462469043,1.4827298429376667
4905,Gareth,PARRY,"N(mu=1.482, sigma=0.185)",0.18496776686652505,1.4820789964271759
1149,Zan,LOVENJAK SUDAR,"N(mu=1.478, sigma=0.234)",0.23442558977114764,1.477665594486819
5428,Matthieu,THOMASSIN,"N(mu=1.477, sigma=0.366)",0.3662429536327116,1.4772534827170647
631,Tyler,LANDMAN,"N(mu=1.467, sigma=0.227)",0.2271887015767022,1.4673494379872902
2004,Ellis,ERNSBERGER,"N(mu=1.466, sigma=0.508)",0.5083725479070056,1.4661842282379942
2289,Minoru,NAKANO,"N(mu=1.465, sigma=0.367)",0.36655267287111604,1.4646251538943091
1115,Jurij,GOLOB,"N(mu=1.463, sigma=0.212)",0.211757666970303,1.4631336744292534
2378,Yuta,IMAIZUMI,"N(mu=1.461, sigma=0.584)",0.5842595208511014,1.461376806106273
4940,Tatsumi,NITTA,"N(mu=1.460, sigma=0.714)",0.7139851400715995,1.4602063600679722
11846,Junta,SEKIGUCHI,"N(mu=1.457, sigma=1.002)",1.001575137513285,1.4569075663215285
1472,Sergii,TOPISHKO,"N(mu=1.456, sigma=0.198)",0.1976208039024876,1.4561952033778385
2032,Sangwon,SON,"N(mu=1.434, sigma=0.260)",0.259890205910091,1.4341166494411752
3983,Alex,KHAZANOV,"N(mu=1.432, sigma=0.182)",0.1820991734463733,1.4316218043059514
1361,Martin,STRANIK,"N(mu=1.429, sigma=0.183)",0.1828447814262139,1.4292810303975323
2798,Anthony,GULLSTEN,"N(mu=1.428, sigma=0.263)",0.26290010867417096,1.4284263092418443
2249,Keita,MOGAKI,"N(mu=1.427, sigma=0.222)",0.2218080071417239,1.4273222149516944
391,Anthony,LAMICHE,"N(mu=1.427, sigma=0.394)",0.39365694642308524,1.426527120603681
4300,Baptiste,OMETZ,"N(mu=1.424, sigma=0.250)",0.24957828534321402,1.4240683632710878
3582,Tim,REUSER,"N(mu=1.420, sigma=0.362)",0.36248761538859303,1.4201874839721829
11832,Ao,YURIKUSA,"N(mu=1.418, sigma=0.507)",0.5073948665423245,1.4178602143525307
1047,Nicolò,SARTIRANA,"N(mu=1.414, sigma=1.003)",1.003372623288594,1.414092033954275
4631,Iakov,SOUBBOTINE,"N(mu=1.411, sigma=1.002)",1.0015183636588463,1.4114873584226182
2280,Makoto,YAMAUCHI,"N(mu=1.409, sigma=0.251)",0.25081127705130835,1.4090756820023629
2833,Andrzej,MECHERZYNSKI-WIKTOR,"N(mu=1.407, sigma=0.198)",0.19827244931851598,1.4069411615419
5050,Obel,CARRION,"N(mu=1.406, sigma=0.592)",0.5921238101082411,1.4063967845944259
4643,Evgeny,OVCHINNIKOV,"N(mu=1.405, sigma=0.531)",0.5308216990982229,1.4053904172067444
1746,Vasya,VOROTNIKOV,"N(mu=1.397, sigma=0.420)",0.41971936698406564,1.3967301339385025
1274,Stefan,SCHERZ,"N(mu=1.397, sigma=0.507)",0.5071222179872708,1.3966454740626941
1794,Shawn,RABOUTOU,"N(mu=1.396, sigma=0.455)",0.4549990557542588,1.3958287311476358
4654,Hiroshi,OKANO,"N(mu=1.396, sigma=0.303)",0.3026393508352425,1.3955639456060038
