,firstname,lastname,current,sigma,mu
5249,Chelsea,RUDE,"N(mu=1.515, sigma=0.733)",0.7329818952779017,1.515167003089143
693,Emily,PHILLIPS,"N(mu=1.513, sigma=0.289)",0.288860105565736,1.5130388489095115
11653,Agathe,CALLIET,"N(mu=1.503, sigma=0.509)",0.5094146405129661,1.5030897137406667
4640,Elodie,GIROUX,"N(mu=1.503, sigma=0.527)",0.5271851233070814,1.5030281451487748
1270,Sandra,LETTNER,"N(mu=1.495, sigma=0.264)",0.2639263289970738,1.4951041841033845
2664,Angelica,LIND,"N(mu=1.494, sigma=0.205)",0.20482793091179693,1.4937052617656488
5756,Ganna,SAVCHENKO,"N(mu=1.489, sigma=1.023)",1.023311543387195,1.4885269180621872
7123,Laeticia,COUDER,"N(mu=1.480, sigma=0.530)",0.5298974691154361,1.4801256937524445
6067,Dana,RIDDLE,"N(mu=1.472, sigma=0.730)",0.7304666375330142,1.4718633702797081
11621,Naïlé,MEIGNAN,"N(mu=1.469, sigma=0.508)",0.5077567183956794,1.4689102552791076
4320,Roxana,WIENAND,"N(mu=1.468, sigma=0.263)",0.26334189999005975,1.4681230285014972
1718,Michaela,KIERSCH,"N(mu=1.458, sigma=0.594)",0.5942826458303769,1.4577366239599268
144,Elena,KRASOVSKAIA,"N(mu=1.456, sigma=0.264)",0.26407680891733243,1.4561344928485982
598,Clothilde,MORIN,"N(mu=1.456, sigma=0.587)",0.5868248466789181,1.4560470591544297
4719,Mi-Sun,GO,"N(mu=1.447, sigma=0.404)",0.4043902515874775,1.446503394625639
4458,Delphine,CHENEVIER PIGNEUR,"N(mu=1.425, sigma=0.358)",0.35780576494754773,1.4247010800607052
5111,Li-Ping,HUANG,"N(mu=1.418, sigma=0.741)",0.7412496493263263,1.4178664799003562
5654,Colette,CIRET,"N(mu=1.416, sigma=0.534)",0.5337216727661155,1.4158936054179614
11783,Ryu,NAKAGAWA,"N(mu=1.393, sigma=0.327)",0.32726207201401947,1.393247453899872
40,Natalia,TITOVA,"N(mu=1.374, sigma=0.532)",0.5321258238158664,1.37429457098317
4534,Eva,TUSAR,"N(mu=1.371, sigma=0.729)",0.7291494639313703,1.3713407679621945
4699,Emilie,VERDIER,"N(mu=1.368, sigma=0.250)",0.24982399701553445,1.367957992584238
3465,Elnaz,REKABI,"N(mu=1.366, sigma=0.252)",0.2516582414195992,1.3660884703161265
4832,Chauncenia,COX,"N(mu=1.363, sigma=0.603)",0.6028183043078331,1.362993094464806
3254,Andrea,KÜMIN,"N(mu=1.350, sigma=0.210)",0.20990192795432655,1.3495743839749115
3354,Afra,HÖNIG,"N(mu=1.341, sigma=0.197)",0.1974286779215767,1.3405284660636738
5514,Nina,CAPREZ,"N(mu=1.338, sigma=0.348)",0.3482283691975878,1.3382434085375883
2344,Hinako,FURUKAWA,"N(mu=1.331, sigma=1.013)",1.0131076251069044,1.3312381485144902
2369,Natsumi,HIRANO,"N(mu=1.330, sigma=0.584)",0.5841765130547915,1.329581258014214
1714,Sierra,BLAIR-COYLE,"N(mu=1.330, sigma=0.208)",0.20834007681237207,1.3295717433753027
5096,Eva,NIESELT,"N(mu=1.329, sigma=0.475)",0.474846610574816,1.3288996533472797
5282,Emily,HARRINGTON,"N(mu=1.319, sigma=0.431)",0.43057006145846016,1.3190602819469837
526,Charlotte,ANDRE,"N(mu=1.308, sigma=0.417)",0.41721247806378775,1.3082421197123175
457,Nolwen,BERTHIER,"N(mu=1.305, sigma=0.591)",0.5911229362017981,1.3049623570203637
4735,Kseniia,ALEKSEEVA,"N(mu=1.297, sigma=0.295)",0.2954767074488874,1.2974712239738457
7443,Charlotte,GARDEN,"N(mu=1.292, sigma=1.008)",1.0079554125598347,1.292451454136423
2795,Lilli,KIESGEN,"N(mu=1.289, sigma=0.232)",0.23222105485267666,1.2886888182325231
5281,Celine,COMBAZ,"N(mu=1.288, sigma=0.237)",0.23731674382091847,1.2875009869634795
1706,Sydney,MCNAIR,"N(mu=1.269, sigma=1.033)",1.032740177483661,1.269026002516452
4260,Sofya,YOKOYAMA,"N(mu=1.268, sigma=0.209)",0.20905452085207354,1.2680821516907113
2349,Serika,OKAWACHI,"N(mu=1.247, sigma=0.459)",0.45854538961277375,1.2467548345514743
5733,Maria,AGAFONOVA,"N(mu=1.238, sigma=0.520)",0.5197019365908078,1.2378392731361074
1629,Madison,FISCHER,"N(mu=1.228, sigma=0.264)",0.2636696996368178,1.2275192799061216
4564,Claire,SARRE,"N(mu=1.227, sigma=0.606)",0.6062195402293591,1.2272075053895846
1360,Silvie,RAJFOVA,"N(mu=1.224, sigma=0.203)",0.20296372238715432,1.2243393486612677
2329,Ayano,SOGA,"N(mu=1.224, sigma=1.011)",1.0113239121517565,1.2239970980157497
49,Evgeniia,MALAMID,"N(mu=1.221, sigma=0.518)",0.5177653837199045,1.2212337513964497
1874,Megan,LYNCH,"N(mu=1.219, sigma=0.590)",0.5900737205552817,1.2186762103436406
535,Maëlys,AGRAPART,"N(mu=1.210, sigma=0.327)",0.3267998645273538,1.2104092927889887
4542,Olena,KRYVONIS,"N(mu=1.207, sigma=0.521)",0.5207077232910967,1.2069647398834107
4330,Lucia,DÖRFFEL,"N(mu=1.204, sigma=0.264)",0.2643678007671759,1.2042930066732838
6274,Patricia,HOLZMANN,"N(mu=1.186, sigma=0.589)",0.5894766654523111,1.185702692743688
6275,Victoria,KLEMM,"N(mu=1.184, sigma=0.718)",0.7175860629529629,1.1836610891755313
1225,Karoline,SINNHUBER,"N(mu=1.181, sigma=0.237)",0.23724949823153418,1.1812159743153658
5199,Tomoko,OGAWA,"N(mu=1.168, sigma=0.310)",0.3095777595940909,1.16836799967229
13450,Rebeca,PÉREZ DUATO,"N(mu=1.165, sigma=0.509)",0.5085033338233057,1.1646937789467784
2843,Karina,MIROSLAW,"N(mu=1.163, sigma=1.006)",1.005744239076249,1.162973787156879
5851,Franziska,SAURWEIN,"N(mu=1.154, sigma=0.522)",0.5215949823726956,1.153657082519518
3108,Julia,WINTER,"N(mu=1.151, sigma=0.595)",0.5947613216677046,1.1511098211989352
2297,Misato,NISHIKORI,"N(mu=1.150, sigma=1.013)",1.013067182283771,1.1501246260292222
462,Manon,HILY,"N(mu=1.143, sigma=0.290)",0.2897841674413334,1.142908889562217
1148,Tjasa,SLEMENSEK,"N(mu=1.140, sigma=0.362)",0.36213385596791603,1.1397463035385833
1765,Melina,COSTANZA,"N(mu=1.133, sigma=0.588)",0.5875555667485213,1.132897576738248
1217,Madeleine,EPPENSTEINER,"N(mu=1.128, sigma=0.512)",0.5115277290253075,1.127680237879558
